building_name,osm_id,crossing_node_id,centroid_lon,centroid_lat,meters_to_crossing
1号楼,way/258363503,496,113.3422262,23.155396,18
12号楼,way/315240173,521,113.3399655,23.155249,38
励吾科技大楼,way/315241220,702,113.3419525,23.1589562,41
6号楼（建筑红楼）,way/315242639,1224,113.3433634,23.1585977,9
7号楼,way/315242653,1225,113.3427306,23.1589174,15
18号楼（物理与光电学院）,way/331708003,530,113.3401426,23.1538771,14
逸夫人文馆,way/331708005,659,113.3397313,23.1573271,27
网络学院大楼,way/331709494,911,113.3351931,23.1675268,40
31号楼（慎思楼）,way/334895535,894,113.3381774,23.1586623,37
30号楼（宏生科技楼）,way/334895536,588,113.3393456,23.1586093,56
10号楼,way/334895538,656,113.3396494,23.1581562,56
19号楼,way/334895539,899,113.3391059,23.1581597,39
西湖苑宾馆,way/334895540,633,113.3373675,23.1571841,31
4号楼,way/360052165,506,113.3429133,23.1563567,25
3号楼,way/360052166,1354,113.3414037,23.1562683,28
2号楼,way/360052167,507,113.3421213,23.1568049,27
23号楼,way/360052996,528,113.3395793,23.1545395,20
22号楼,way/360052997,1176,113.3407176,23.1546517,33
汕头校友楼,way/360053003,312,113.3406675,23.1534848,16
5号楼,way/360054608,1377,113.3443229,23.1557425,42
8号楼,way/360055897,593,113.3411925,23.15877,41
9号楼,way/360055899,1233,113.3405729,23.1583939,19
逸夫科学馆,way/362682630,1227,113.3412269,23.1582802,35
逸夫工程馆,way/365982008,316,113.3396957,23.1526099,37
土交学院,way/365994297,1108,113.3393634,23.1501381,43
热材料工程楼,way/365995702,797,113.3414625,23.1523075,69
造纸实验楼,way/365995703,315,113.3406161,23.1524159,61
光电楼,way/365995704,797,113.3413306,23.1527563,83
资源与造纸工程楼（造纸大楼）,way/365995705,312,113.3410306,23.1529899,51
25号楼（唯美楼）,way/365995706,551,113.3398008,23.1531709,41
28号楼,way/365995707,317,113.3394911,23.1523243,42
16号楼,way/365995708,547,113.3390582,23.1519697,54
15号楼,way/365995709,396,113.3388803,23.1513384,41
20号楼,way/365995713,590,113.3418742,23.1593167,45
29号楼,way/365995714,589,113.3408925,23.1593073,33
北区1号楼,way/370313926,738,113.3390067,23.1682064,14
北区3号楼,way/370313927,739,113.3385126,23.1678617,14
北区2号楼,way/370313928,740,113.3384874,23.1685161,18
科技园2号楼,way/370313929,226,113.339605,23.1672407,74
科技园1号楼,way/370313931,225,113.3390039,23.1661059,35
清清文理楼,way/539648202,192,113.3390842,23.1553552,52
博学楼,way/567864928,218,113.3369721,23.1693079,50
35号楼,way/567864929,886,113.3339955,23.1694808,44
33号楼,way/568400205,893,113.3373435,23.1583803,65
34号楼,way/568400206,893,113.3371069,23.1586691,58
38号楼,way/568400214,910,113.3383003,23.1597669,29
华南理工大学热加工楼,way/568400215,909,113.3380558,23.1603302,20
继续教育学院,way/568660903,469,113.3354586,23.164548,23
24号楼,way/568660913,1172,113.3394711,23.154275,41
北区5号楼,way/569329713,740,113.3384326,23.1689895,70
北区4号楼,way/569329714,1276,113.3384605,23.1673186,31
32号楼,way/569329715,157,113.3378372,23.1581236,55
13号楼,way/569329732,308,113.3414911,23.1537078,39
麟鸿楼,way/569329733,672,113.3417621,23.1533893,54
14号楼,way/569329734,796,113.3417629,23.1530529,67
26号楼,way/571878471,283,113.3366533,23.1670976,27
管工楼,way/571878474,284,113.3363028,23.1671911,20
中公教育大楼,way/996123642,764,113.3407663,23.150057,47
东六宿舍楼,way/1018461172,45,113.3436455,23.1569514,22
道明游泳馆,way/1190303552,396,113.3384667,23.1507127,41
